Pclass,Sex,Age,Fare,FamilySize,IsAlone,Embarked_C,Embarked_Q,Embarked_S,Survived
3,1,-0.322181974830988,0.5138115038918489,-0.5563385795422586,1,0,0,1,1
2,1,0.05357491000082355,-0.6625632269369692,-0.5563385795422586,1,0,0,1,0
1,1,0.8050886796644466,3.9553985809041556,-0.5563385795422586,1,0,0,1,0
3,0,-0.8482416135955242,-0.4678743521312413,0.07341192703021858,0,0,0,1,1
2,0,0.12872628696718585,-0.11597681371233177,0.7031624336026958,0,0,0,1,1
3,1,-0.6227874826964372,-0.48696219079802316,-0.5563385795422586,1,0,0,1,0
3,1,-0.2470305978646257,0.5138115038918489,-0.5563385795422586,1,0,0,1,1
1,1,0.8050886796644466,4.075039579498675,-0.5563385795422586,1,1,0,0,0
3,1,-0.322181974830988,-0.5011900954135049,-0.5563385795422586,1,0,1,0,1
3,0,0.12872628696718585,-0.2877611150115036,0.07341192703021858,0,0,0,1,0
1,1,2.0075107111262436,0.07662982713825477,-0.5563385795422586,1,1,0,0,1
3,0,-0.6227874826964372,-0.45798374084431925,0.07341192703021858,0,0,0,1,0
3,1,-0.322181974830988,0.7856304888639273,5.741166486182514,0,0,0,1,0
1,1,2.0075107111262436,-0.10973011184690733,-0.5563385795422586,1,0,0,1,0
3,1,-0.6227874826964372,-0.5001489784359341,-0.5563385795422586,1,0,0,1,0
1,0,0.2790290408999105,1.2114473326903592,0.07341192703021858,0,0,1,0,1
3,1,-0.6227874826964372,-0.5015378284840135,-0.5563385795422586,1,0,1,0,0
3,1,-0.322181974830988,-0.5116012651892122,-0.5563385795422586,1,0,0,1,0
3,1,1.0305428105635335,-0.5282591368303441,-0.5563385795422586,1,0,0,1,0
3,0,-0.5852117942132561,-0.13228695228295498,1.9626634467476503,0,0,0,1,0
3,1,0.05357491000082355,-0.32732356015919156,0.07341192703021858,0,0,0,1,0
1,0,0.20387766393354817,0.9260084554177004,-0.5563385795422586,1,1,0,0,1
1,0,0.4293317948326351,0.9865660655350799,-0.5563385795422586,1,1,0,0,1
2,1,-0.7730902366291619,-0.44392866164711425,-0.5563385795422586,1,0,0,1,1
3,1,-0.3973333517973503,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
2,0,1.180845564496258,-0.38146164299287,-0.5563385795422586,1,0,0,1,1
3,1,-0.4724847287637126,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
3,1,0.9553914335971713,-0.48756812087896934,0.07341192703021858,0,0,0,1,0
1,0,0.7299373026980843,1.0689871321814448,0.7031624336026958,0,1,0,0,1
3,1,-0.9985443675282488,-0.4949433935480804,-0.5563385795422586,1,0,0,1,1
3,1,-0.322181974830988,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
2,1,2.759024480789867,-0.44392866164711425,-0.5563385795422586,1,0,0,1,0
1,1,-0.09672784393190106,-0.10973011184690733,-0.5563385795422586,1,0,0,1,1
2,1,1.631753826294432,-0.40176342405549936,-0.5563385795422586,1,0,0,1,0
2,1,1.3311483184289827,-0.35022813366574784,-0.5563385795422586,1,0,0,1,0
3,1,-0.8482416135955242,-0.4949433935480804,-0.5563385795422586,1,0,0,1,1
2,1,0.5044831717989974,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
2,0,0.05357491000082355,-0.3918728127685774,-0.5563385795422586,1,0,0,1,1
2,0,-0.5476361057300749,-0.058715379945941185,0.7031624336026958,0,0,0,1,1
3,0,-0.5852117942132561,-0.5011900954135049,-0.5563385795422586,1,0,1,0,0
2,1,-0.322181974830988,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.5120343698518817,-0.5563385795422586,1,1,0,0,0
2,0,0.20387766393354817,-0.3918728127685774,-0.5563385795422586,1,0,0,1,1
3,1,-0.322181974830988,-0.5006695369247195,-0.5563385795422586,1,0,0,1,1
3,0,-0.7730902366291619,-0.4990204076322475,0.07341192703021858,0,0,0,1,1
1,1,1.7069052032607943,-0.02748187061881904,-0.5563385795422586,1,0,0,1,1
1,1,3.1347813656216785,0.05901829234566822,-0.5563385795422586,1,1,0,0,0
3,1,0.20387766393354817,-0.4975461859920073,-0.5563385795422586,1,0,0,1,0
3,1,-0.7730902366291619,-0.5032723293686463,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.33981696389004046,0.07341192703021858,0,0,1,0,0
3,0,-0.5476361057300749,-0.4577234615999265,-0.5563385795422586,1,0,0,1,0
1,1,1.5566024493280697,0.5014055539871158,0.07341192703021858,0,0,0,1,0
3,1,-1.9003608911245966,-0.08161995345249745,2.592413953320128,0,0,0,1,0
1,0,0.5044831717989974,1.836117519232802,1.3329129401751731,0,0,0,1,1
1,1,-0.7730902366291619,0.4431030032431546,0.07341192703021858,0,0,0,1,0
1,0,0.05357491000082355,-0.017070700843111658,-0.5563385795422586,1,1,0,0,1
3,1,-0.322181974830988,0.5138115038918489,-0.5563385795422586,1,0,0,1,1
3,1,0.05357491000082355,-0.5116012651892122,-0.5563385795422586,1,0,0,1,0
3,1,-0.6227874826964372,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
2,1,0.05357491000082355,-0.162827077703015,0.07341192703021858,0,1,0,0,0
2,0,-0.8482416135955242,-0.18364941725442976,0.07341192703021858,0,0,0,1,1
3,1,-0.7730902366291619,-0.6625632269369692,-0.5563385795422586,1,0,0,1,0
1,0,0.654785925731722,4.075039579498675,-0.5563385795422586,1,1,0,0,1
3,1,-1.4494526293264227,-0.08161995345249745,2.592413953320128,0,0,0,1,0
2,1,0.05357491000082355,-0.6625632269369692,-0.5563385795422586,1,0,0,1,0
3,0,-0.021576466965538756,-0.4447094993802923,0.7031624336026958,0,0,0,1,0
3,1,-0.322181974830988,-0.5102998689672489,-0.5563385795422586,1,0,0,1,0
3,1,-0.09672784393190106,-0.3325291450470453,0.07341192703021858,0,0,0,1,0
3,0,0.7299373026980843,-0.01134455746647263,3.222164459892605,0,0,0,1,0
3,0,-2.050663645057321,-0.4447094993802923,0.07341192703021858,0,0,0,1,0
2,1,0.05357491000082355,-0.44392866164711425,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.5121218236779976,-0.5563385795422586,1,1,0,0,0
3,1,-1.1488471214609735,0.1638233740098041,2.592413953320128,0,0,0,1,0
1,0,0.4293317948326351,0.4201984297365983,0.07341192703021858,0,0,0,1,1
1,1,-0.9233929905618865,1.6462864962444193,0.7031624336026958,0,1,0,0,1
3,1,-0.322181974830988,-0.5017106539022903,-0.5563385795422586,1,0,1,0,0
3,0,-0.8482416135955242,-0.5220124349649197,-0.5563385795422586,1,0,1,0,0
3,0,-0.4724847287637126,-0.5053545633237878,-0.5563385795422586,1,0,0,1,1
3,1,1.5566024493280697,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
1,0,-0.6227874826964372,4.800698112865479,1.9626634467476503,0,1,0,0,1
1,0,2.157813465058968,2.3883426220079627,-0.5563385795422586,1,1,0,0,1
2,0,-1.9755122680909587,0.2032129937392154,1.3329129401751731,0,1,0,0,1
2,0,-1.2239984984273358,-0.25652760568438143,0.07341192703021858,0,0,0,1,1
2,1,2.082662088092606,-0.40540733347699703,-0.5563385795422586,1,0,1,0,0
2,1,-0.9985443675282488,-0.12118239860018547,-0.5563385795422586,1,0,0,1,0
3,0,-0.5852117942132561,-0.5011900954135049,-0.5563385795422586,1,0,1,0,1
2,1,2.308116218991693,0.14950801556820642,0.7031624336026958,0,0,0,1,0
1,1,-0.5476361057300749,2.1616394001419343,-0.5563385795422586,1,1,0,0,0
2,1,0.05357491000082355,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
3,1,-0.9233929905618865,-0.48218971057283894,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
3,1,-0.17187922089826338,-0.48218971057283894,-0.5563385795422586,1,0,0,1,1
3,1,0.5044831717989974,-0.6625632269369692,-0.5563385795422586,1,0,0,1,0
3,0,-0.5852117942132561,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
3,0,-0.5852117942132561,-0.5120343698518817,-0.5563385795422586,1,1,0,0,1
3,1,-0.021576466965538756,-0.46509873426903764,-0.5563385795422586,1,0,0,1,0
1,0,0.05357491000082355,1.5534542598223466,-0.5563385795422586,1,1,0,0,1
3,1,-0.322181974830988,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
1,1,1.631753826294432,0.6154953168572276,0.07341192703021858,0,1,0,0,0
3,0,-0.9985443675282488,-0.5015378284840135,-0.5563385795422586,1,0,1,0,1
3,0,-0.5852117942132561,-0.5011900954135049,-0.5563385795422586,1,0,1,0,1
3,0,-2.1258150220236836,-0.3347842044204636,0.7031624336026958,0,1,0,0,1
3,1,-0.5476361057300749,-0.5002364322620501,-0.5563385795422586,1,0,0,1,0
3,0,-0.5852117942132561,-0.1970111125445726,0.7031624336026958,0,1,0,0,1
3,1,-1.6749067602255097,-0.05611258750201434,2.592413953320128,0,0,1,0,0
1,1,0.8050886796644466,-0.02748187061881904,-0.5563385795422586,1,0,0,1,1
3,1,-0.322181974830988,-0.5011900954135049,0.07341192703021858,0,0,1,0,0
1,0,0.2790290408999105,0.4431030032431546,0.07341192703021858,0,0,0,1,1
3,1,-1.6749067602255097,0.1638233740098041,2.592413953320128,0,0,0,1,0
3,1,0.20387766393354817,-0.5011900954135049,-0.5563385795422586,1,0,1,0,0
2,1,1.5566024493280697,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
2,1,2.2329648420253307,-0.38146164299287,-0.5563385795422586,1,0,0,1,0
1,1,-0.09672784393190106,1.0484250718744228,0.07341192703021858,0,1,0,0,0
3,1,-0.322181974830988,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
1,1,2.308116218991693,-0.10973011184690733,-0.5563385795422586,1,0,0,1,0
3,0,-0.9233929905618865,-0.36150759500074925,-0.5563385795422586,1,1,0,0,0
2,1,0.24145335241672933,-0.03641881875428629,0.07341192703021858,0,1,0,0,0
1,0,-0.6227874826964372,0.9607109665140879,-0.5563385795422586,1,0,0,1,1
3,1,-1.9755122680909587,-0.009002044266938455,3.222164459892605,0,0,0,1,1
2,1,-0.7730902366291619,-0.44392866164711425,-0.5563385795422586,1,0,0,1,0
2,0,-0.3973333517973503,-0.2721443603479425,2.592413953320128,0,0,0,1,1
1,0,-0.8482416135955242,0.9959361183332165,0.7031624336026958,0,0,0,1,1
1,0,1.4814510723617074,-0.1226566202404256,-0.5563385795422586,1,0,0,1,1
3,0,0.880240056630809,-0.24169168875399843,0.7031624336026958,0,0,0,1,0
3,1,0.05357491000082355,-0.464751001198529,-0.5563385795422586,1,0,0,1,1
3,1,2.2329648420253307,-0.5116012651892122,-0.5563385795422586,1,0,0,1,0
3,0,-1.9003608911245966,-0.3831961438775028,0.07341192703021858,0,1,0,0,1
3,0,-0.5852117942132561,-0.3451100026040101,0.7031624336026958,0,1,0,0,0
3,1,1.631753826294432,-0.5011900954135049,-0.5563385795422586,1,0,0,1,0
2,0,1.180845564496258,-0.11597681371233177,0.7031624336026958,0,0,0,1,1
3,1,-0.8482416135955242,-0.24169168875399843,0.7031624336026958,0,0,0,1,0
3,0,-0.5852117942132561,0.7856304888639273,5.741166486182514,0,0,0,1,0
3,0,-0.5852117942132561,-0.33981696389004046,0.07341192703021858,0,0,1,0,1
2,1,-0.09672784393190106,0.024573978259717865,0.07341192703021858,0,0,0,1,0
3,1,1.9699350226430625,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
1,1,-0.3973333517973503,4.491398916700854,0.07341192703021858,0,1,0,0,0
1,1,0.8050886796644466,-0.6625632269369692,-0.5563385795422586,1,0,0,1,0
3,0,-0.5852117942132561,-0.32732356015919156,0.07341192703021858,0,0,0,1,1
3,1,-0.322181974830988,-0.17427936445629313,1.3329129401751731,0,0,0,1,0
3,1,-0.322181974830988,0.7856304888639273,5.741166486182514,0,0,0,1,0
2,0,-0.021576466965538756,-0.12118239860018547,0.07341192703021858,0,0,0,1,1
1,0,2.157813465058968,2.5328850564720184,0.07341192703021858,0,0,0,1,1
3,0,-0.2470305978646257,-0.4975461859920073,-0.5563385795422586,1,0,0,1,1
1,0,1.1056941875298958,0.5446993623824175,0.07341192703021858,0,1,0,0,1
3,1,-0.322181974830988,-0.5121218236779976,-0.5563385795422586,1,1,0,0,0
3,1,0.20387766393354817,-0.4884364124382633,-0.5563385795422586,1,0,0,1,0
2,1,-0.2470305978646257,-0.44392866164711425,-0.5563385795422586,1,0,0,1,0
3,1,-0.9985443675282488,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
3,1,-0.7730902366291619,-0.5006695369247195,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
3,1,1.406299695395345,-0.4990204076322475,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.5011900954135049,-0.5563385795422586,1,0,1,0,0
3,1,-1.524604006292785,0.314004498024383,3.851914966465082,0,0,0,1,0
1,0,0.4293317948326351,1.0755815671173778,0.07341192703021858,0,0,0,1,1
3,1,-1.299149875393698,-0.42848473240183,0.07341192703021858,0,1,0,0,1
3,0,0.12872628696718585,-0.4990204076322475,-0.5563385795422586,1,0,0,1,0
2,0,-0.17187922089826338,-0.3740009987315981,0.07341192703021858,0,1,0,0,1
1,0,1.0305428105635335,3.7379779580101484,0.07341192703021858,0,0,0,1,1
3,0,0.09115059848400471,-0.5011900954135049,-0.5563385795422586,1,0,1,0,0
3,1,0.3541804178662728,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
2,1,0.05357491000082355,-0.6625632269369692,-0.5563385795422586,1,0,0,1,0
2,1,-0.4724847287637126,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
3,0,-0.3973333517973503,-0.3148301564283428,0.7031624336026958,0,0,0,1,1
2,1,0.7299373026980843,-0.12118239860018547,-0.5563385795422586,1,0,0,1,0
2,0,-0.3973333517973503,-0.3918728127685774,-0.5563385795422586,1,0,0,1,1
3,1,-0.322181974830988,-0.4995409661210328,-0.5563385795422586,1,0,1,0,0
3,0,-2.144602866265274,-0.2615603651539584,1.3329129401751731,0,1,0,0,1
2,1,0.3541804178662728,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
3,1,-0.4724847287637126,-0.47047714457516815,-0.5563385795422586,1,0,0,1,0
2,0,0.9553914335971713,-0.12118239860018547,0.07341192703021858,0,0,0,1,1
3,1,-0.322181974830988,-0.4864416323092378,-0.5563385795422586,1,0,1,0,0
3,1,-0.5476361057300749,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
2,1,-2.1385907561079653,-0.058715379945941185,0.7031624336026958,0,0,0,1,1
3,0,-0.5852117942132561,-0.5053545633237878,-0.5563385795422586,1,0,0,1,0
2,1,1.7069052032607943,-0.38146164299287,-0.5563385795422586,1,0,0,1,0
3,1,-0.9233929905618865,-0.5156782792733793,0.07341192703021858,0,0,0,1,0
1,1,1.4814510723617074,1.192794680920202,0.07341192703021858,0,1,0,0,1
3,1,1.1056941875298958,-0.4975461859920073,-0.5563385795422586,1,0,0,1,1
3,1,-1.750058137191872,-0.4028045410330702,0.07341192703021858,0,0,0,1,1
1,1,2.6087217268571425,-0.12118239860018547,-0.5563385795422586,1,0,0,1,0
3,0,-0.8482416135955242,-0.5006695369247195,-0.5563385795422586,1,0,0,1,0
3,1,-0.7730902366291619,-0.36063930344145523,-0.5563385795422586,1,0,0,1,0
3,1,-0.2470305978646257,-0.23414359066661056,1.3329129401751731,0,0,0,1,0
2,1,1.0305428105635335,-0.11597681371233177,0.7031624336026958,0,0,0,1,0
3,1,-0.322181974830988,-0.1597037267703028,-0.5563385795422586,1,0,1,0,0
3,0,-0.4724847287637126,-0.4975461859920073,-0.5563385795422586,1,0,0,1,0
3,1,-0.9985443675282488,0.1638233740098041,2.592413953320128,0,0,0,1,0
1,0,0.5044831717989974,0.8158228812134788,0.7031624336026958,0,0,0,1,1
1,0,-0.5476361057300749,0.48266544839084263,0.07341192703021858,0,0,0,1,1
3,1,-0.7730902366291619,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
3,0,-0.5852117942132561,-0.49849984914346207,-0.5563385795422586,1,0,1,0,1
3,1,1.3311483184289827,-0.4751621709742364,-0.5563385795422586,1,0,0,1,0
2,0,0.8050886796644466,-0.3346113790021868,-0.5563385795422586,1,0,0,1,1
3,0,-0.6979388596627996,-0.45798374084431925,0.07341192703021858,0,0,0,1,0
2,0,0.5044831717989974,-0.12118239860018547,0.07341192703021858,0,0,0,1,1
3,1,-0.8482416135955242,-0.4990204076322475,0.7031624336026958,0,0,0,1,0
2,1,-0.8482416135955242,-0.42310632209569954,-0.5563385795422586,1,0,0,1,0
3,1,0.20387766393354817,0.5138115038918489,-0.5563385795422586,1,0,0,1,1
3,1,0.2790290408999105,-0.49815419830690855,-0.5563385795422586,1,1,0,0,0
1,1,0.4293317948326351,-0.10973011184690733,-0.5563385795422586,1,1,0,0,1
1,1,2.6087217268571425,4.813712075085113,2.592413953320128,0,0,0,1,0
1,1,1.7069052032607943,0.9959361183332165,0.7031624336026958,0,0,0,1,0
3,0,-0.3973333517973503,-0.2615603651539584,1.3329129401751731,0,1,0,0,1
3,1,2.3832675959580554,-0.5326838839850196,-0.5563385795422586,1,0,0,1,0
2,1,-0.3973333517973503,-0.44392866164711425,-0.5563385795422586,1,0,0,1,0
3,1,1.0305428105635335,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
2,0,0.3541804178662728,-0.44392866164711425,-0.5563385795422586,1,0,0,1,1
3,0,2.53357034989078,-0.4629290464877802,-0.5563385795422586,1,0,0,1,1
1,0,-0.3973333517973503,0.7804249039760736,-0.5563385795422586,1,1,0,0,1
1,0,0.654785925731722,0.8217218500083945,0.07341192703021858,0,1,0,0,1
3,1,-0.6227874826964372,-0.5116012651892122,-0.5563385795422586,1,0,0,1,0
1,0,1.180845564496258,2.7703471811842633,0.7031624336026958,0,0,0,1,1
3,1,-0.9985443675282488,0.053204695142913164,1.9626634467476503,0,0,0,1,0
3,1,-0.6979388596627996,-0.4975461859920073,0.07341192703021858,0,0,0,1,1
2,1,0.05357491000082355,-0.3491870166881771,-0.5563385795422586,1,1,0,0,0
3,0,0.880240056630809,0.1638233740098041,2.592413953320128,0,0,0,1,0
2,1,0.05357491000082355,-0.3918728127685774,-0.5563385795422586,1,0,0,1,0
3,1,-0.021576466965538756,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
3,0,-1.9755122680909587,-0.22373242089090317,1.9626634467476503,0,0,0,1,0
2,1,-1.9755122680909587,-0.12118239860018547,0.7031624336026958,0,0,0,1,1
2,1,1.857207957193519,-0.12118239860018547,0.07341192703021858,0,0,0,1,0
3,1,-0.09672784393190106,-0.4975461859920073,0.7031624336026958,0,0,0,1,0
3,1,0.5044831717989974,-0.5064831341274745,-0.5563385795422586,1,0,0,1,0
1,1,1.406299695395345,-0.10973011184690733,-0.5563385795422586,1,0,0,1,1
3,0,0.12872628696718585,-0.4817566059101695,-0.5563385795422586,1,0,0,1,1
3,1,-0.2470305978646257,-0.49815419830690855,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.13228695228295498,1.9626634467476503,0,0,0,1,0
3,1,-2.1694028206641733,-0.4852256076794352,0.07341192703021858,0,1,0,0,1
3,0,-0.322181974830988,-0.5006695369247195,-0.5563385795422586,1,0,0,1,0
1,1,0.8050886796644466,0.4201984297365983,-0.5563385795422586,1,0,0,1,0
3,1,0.654785925731722,-0.48218971057283894,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.4949433935480804,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.3451100026040101,0.7031624336026958,0,1,0,0,1
3,1,-1.0736957444946111,-0.5120343698518817,0.7031624336026958,0,1,0,0,0
2,1,0.4293317948326351,-0.12118239860018547,-0.5563385795422586,1,0,0,1,0
3,1,-0.322181974830988,-0.5006695369247195,-0.5563385795422586,1,0,0,1,0
